region,year,month,T2M,T2M_MAX,T2M_MIN,T2MDEW,T2MWET,RH2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,WS2M,WS2M_MAX,WS2M_MIN,WD2M,PS,QV2M,GWETROOT,GWETTOP,GWETPROF,T2M_RANGE,PRECTOTCORR,total_precip_mm,avg_precip_mm,rainy_days,1 km monthly NDVI,1 km monthly EVI,1 km monthly VI Quality,1 km monthly red reflectance,1 km monthly NIR reflectance,1 km monthly blue reflectance,1 km monthly MIR reflectance
Ashanti,2000,2,27.54827586206897,35.71689655172413,20.79689655172414,11.841379310344829,19.694137931034483,43.90586206896552,18.716896551724137,20.961379310344828,9.871724137931036,1.9841379310344829,3.66896551724138,0.6155172413793104,92.48620689655172,98.26482758620688,9.66206896551724,0.4655172413793103,0.3124137931034483,0.4813793103448275,14.92,21.46,16.979236841201782,0.5854909255586821,3.0,3682.739188319733,2472.814846583483,3885.4578954304734,1413.94164294267,2874.0948911394253,946.036451952952,1680.933434653511
Ashanti,2000,3,28.07677419354839,34.64645161290323,23.08225806451613,19.40290322580645,23.740322580645163,64.48129032258065,19.54032258064516,22.324193548387097,10.112580645161293,2.005483870967742,3.322258064516129,0.8632258064516128,156.90322580645162,98.09483870967742,14.768064516129032,0.4848387096774193,0.4325806451612903,0.4896774193548387,11.564193548387095,77.65,98.56817579269408,3.1796185739578737,12.0,5059.645416976896,3154.6766667685,3187.5332698146467,876.4672792364869,2677.012039047475,487.2770902031422,1432.6400004480734
Ashanti,2000,4,28.377666666666663,34.642,23.769333333333336,21.84466666666667,25.112,70.87833333333333,18.473000000000003,23.302,9.719333333333331,2.48,3.6406666666666654,1.2553333333333332,208.45,98.08533333333334,16.811333333333334,0.4973333333333333,0.4823333333333333,0.5016666666666667,10.872666666666667,46.82,166.6503838300705,5.555012794335683,24.0,6557.865479927848,4446.567551616373,2721.2954851568534,666.0640693006609,3237.0625281961807,370.9614194276976,1242.4105630179652
Ashanti,2000,5,27.783870967741933,33.8358064516129,23.381290322580647,21.83225806451613,24.80870967741935,73.17032258064516,18.22741935483871,24.037419354838708,9.64258064516129,2.303225806451613,3.347419354838709,1.2987096774193547,197.6225806451613,98.26870967741937,16.77806451612903,0.5006451612903225,0.492258064516129,0.5032258064516129,10.45451612903226,90.12,151.5915569067001,4.890050222796779,25.0,6958.100143219172,5077.604903282231,3562.881706684052,656.1570304771649,3679.438602522347,367.8806818567964,1180.5804344933154
Ashanti,2000,6,25.96333333333333,31.04533333333333,22.27233333333333,21.414,23.689666666666668,78.34133333333334,15.811,23.063333333333333,8.399333333333333,1.9856666666666667,3.2393333333333336,1.0043333333333333,199.82666666666668,98.476,16.296666666666667,0.519,0.5236666666666667,0.5173333333333333,8.773,125.09,241.3249249458313,8.044164164861042,18.0,7395.596456866729,5319.615934348839,8354.524485827229,561.6487435491398,3717.659212743176,326.87032297159163,981.0383741089236
Ashanti,2000,7,24.86,29.56645161290323,21.151290322580643,20.96225806451613,22.911290322580644,80.54322580645162,15.470322580645162,22.82774193548387,8.45483870967742,2.237096774193548,3.51741935483871,1.0064516129032255,221.2290322580645,98.45677419354838,15.839677419354835,0.5567741935483872,0.5693548387096774,0.5567741935483872,8.415161290322581,141.58,100.32107225060464,3.236163620987246,10.0,7250.14124938844,5121.299342095831,9995.039142128551,600.2160705269071,3639.435461656545,379.11624902832585,978.547604378768
Ashanti,2000,8,24.423870967741934,29.04,20.894193548387097,21.121290322580645,22.77193548387097,83.14064516129032,14.498387096774191,24.306129032258063,7.764838709677419,2.003548387096774,3.2825806451612904,0.8064516129032258,219.1483870967742,98.53032258064516,15.97483870967742,0.5732258064516129,0.5932258064516129,0.5780645161290322,8.145806451612904,121.53,100.42350339889526,3.2394678515772664,6.0,5573.971147732466,4043.4546867120594,11124.99807256898,1427.2899862995696,4027.9612606751807,1228.5134173515523,1536.661647757051
Ashanti,2000,9,24.932666666666663,29.456666666666667,21.34766666666667,21.47433333333333,23.203666666666667,82.43766666666667,13.973,24.628666666666668,6.997333333333333,1.89,3.222666666666667,0.6626666666666666,220.81666666666663,98.395,16.346,0.571,0.586,0.576,8.109,105.73,95.44784832000732,3.181594944000244,12.0,6388.098893025978,4544.134582025641,14192.44056197237,944.1540379660738,3751.394855096925,767.4786489397011,1254.8046475507545
Ashanti,2000,10,26.48967741935484,32.3883870967742,21.97387096774193,21.1283870967742,23.80903225806452,75.11548387096774,16.00774193548387,23.1,8.22483870967742,1.6858064516129032,2.9609677419354843,0.7632258064516129,177.41290322580645,98.38548387096772,16.01741935483871,0.5309677419354839,0.5190322580645161,0.5474193548387097,10.41451612903226,69.52,125.08616046607494,4.035037434389515,18.0,7417.881302947012,5238.513130844315,6882.284182388111,533.7601397861952,3608.375695137259,301.44746228134625,1043.5292883691127
Ashanti,2000,11,26.979666666666667,33.58833333333333,21.99333333333333,20.704666666666665,23.842,72.20466666666667,17.994666666666667,21.151333333333334,9.326,1.8323333333333327,2.958333333333333,0.876,158.81666666666666,98.22599999999998,15.668333333333331,0.521,0.504,0.5313333333333333,11.595,56.22,35.37549132108688,1.1791830440362294,11.0,7116.742776924743,4614.8710913228,10354.859288042737,542.8609481960679,3176.779925463757,310.54582797041263,948.0305841797882
